device_id,ts,anomaly_type,confidence_score,carbon_credit_impact_pct
TEC0325A0600002,2026-02-04 11:46:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8328,100.0
TEC0325A0600002,2026-02-04 11:49:36.363000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8346,100.0
TEC0325A0600002,2026-02-04 11:50:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8365,100.0
TEC0325A0600002,2026-02-04 11:55:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8372,100.0
TEC0325A0600002,2026-02-04 11:56:06.290000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8378,100.0
TEC0325A0600002,2026-02-04 12:01:36.303000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8095,100.0
TEC0325A0600002,2026-02-04 12:02:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8095,100.0
TEC0325A0600002,2026-02-04 12:06:06.384000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8052,100.0
TEC0325A0600002,2026-02-04 12:06:36.292000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8052,100.0
TEC0325A0600002,2026-02-04 12:10:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7927,100.0
TEC0325A0600002,2026-02-04 12:10:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7927,100.0
TEC0325A0600002,2026-02-04 12:22:06.298000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8184,100.0
TEC0325A0600002,2026-02-04 12:22:36.364000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8178,100.0
TEC0325A0600002,2026-02-04 13:41:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7987,100.0
TEC0325A0600002,2026-02-04 13:41:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8105,100.0
TEC0325A0600002,2026-02-04 13:49:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8189,100.0
TEC0325A0600002,2026-02-04 13:50:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8184,100.0
TEC0325A0600002,2026-02-04 13:55:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7915,100.0
TEC0325A0600002,2026-02-04 13:56:06.305000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7915,100.0
TEC0325A0600002,2026-02-04 14:39:06.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7935,100.0
TEC0325A0600002,2026-02-04 14:39:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7957,100.0
TEC0325A0600002,2026-02-04 14:47:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.78,100.0
TEC0325A0600002,2026-02-04 14:47:36.279000+00:00,EXCESSIVE_DISCHARGE_RATE,0.78,100.0
TEC0325A0600002,2026-02-04 14:53:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7771,100.0
TEC0325A0600002,2026-02-04 14:53:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7771,100.0
TEC0325A0600002,2026-02-04 14:57:06.285000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7847,100.0
TEC0325A0600002,2026-02-04 14:57:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7865,100.0
TEC0325A0600002,2026-02-04 15:03:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7981,100.0
TEC0325A0600002,2026-02-04 15:03:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7975,100.0
TEC0325A0600002,2026-02-04 15:07:36.319000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7951,100.0
TEC0325A0600002,2026-02-04 15:08:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7951,100.0
TEC0325A0600002,2026-02-04 15:09:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7951,100.0
TEC0325A0600002,2026-02-04 15:10:06.290000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7992,100.0
TEC0325A0600002,2026-02-04 15:13:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7968,100.0
TEC0325A0600002,2026-02-04 15:14:06.285000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7986,100.0
TEC0325A0600002,2026-02-04 15:17:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7956,100.0
TEC0325A0600002,2026-02-04 15:18:06.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7962,100.0
TEC0325A0600002,2026-02-04 15:21:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7951,100.0
TEC0325A0600002,2026-02-04 15:22:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7951,100.0
TEC0325A0600002,2026-02-04 15:23:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7957,100.0
TEC0325A0600002,2026-02-04 15:24:06.349000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7957,100.0
TEC0325A0600002,2026-02-04 15:27:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7968,100.0
TEC0325A0600002,2026-02-04 15:28:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7956,100.0
TEC0325A0600002,2026-02-04 15:31:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7956,100.0
TEC0325A0600002,2026-02-04 15:32:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7982,100.0
TEC0325A0600002,2026-02-04 15:43:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8206,100.0
TEC0325A0600002,2026-02-04 15:44:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8206,100.0
TEC0325A0600002,2026-02-04 15:48:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7983,100.0
TEC0325A0600002,2026-02-04 15:48:36.279000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7983,100.0
TEC0325A0600002,2026-02-04 15:56:36.282000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7942,100.0
TEC0325A0600002,2026-02-04 15:57:06.351000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7942,100.0
TEC0325A0600002,2026-02-04 16:00:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7911,100.0
TEC0325A0600002,2026-02-04 16:01:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7917,100.0
TEC0325A0600002,2026-02-04 16:12:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7958,100.0
TEC0325A0600002,2026-02-04 16:13:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7907,100.0
TEC0325A0600002,2026-02-04 16:16:36.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7919,100.0
TEC0325A0600002,2026-02-04 16:17:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7919,100.0
TEC0325A0600002,2026-02-19 07:54:29.203000+00:00,STATISTICAL_ANOMALY,0.6462,6.4624
TEC0325A0600002,2026-02-19 07:54:59.207000+00:00,STATISTICAL_ANOMALY,0.6523,6.5232
TEC0325A0600002,2026-02-19 07:58:29.218000+00:00,STATISTICAL_ANOMALY,0.6577,6.5765
TEC0325A0600002,2026-02-19 07:58:59.203000+00:00,STATISTICAL_ANOMALY,0.6609,6.6087
TEC0325A0600002,2026-02-19 08:02:59.197000+00:00,STATISTICAL_ANOMALY,0.6302,6.3016
TEC0325A0600002,2026-02-19 08:03:29.204000+00:00,STATISTICAL_ANOMALY,0.6302,6.3016
TEC0325A0600002,2026-02-19 08:06:59.199000+00:00,STATISTICAL_ANOMALY,0.6443,6.4429
TEC0325A0600002,2026-02-19 08:07:29.199000+00:00,STATISTICAL_ANOMALY,0.6421,6.4207
TEC0325A0600002,2026-02-19 08:12:59.196000+00:00,STATISTICAL_ANOMALY,0.6746,6.7461
TEC0325A0600002,2026-02-19 08:13:29.201000+00:00,STATISTICAL_ANOMALY,0.6746,6.7461
TEC0325A0600002,2026-02-19 08:14:59.196000+00:00,STATISTICAL_ANOMALY,0.6729,6.7291
TEC0325A0600002,2026-02-19 08:15:29.213000+00:00,STATISTICAL_ANOMALY,0.6729,6.7291
TEC0325A0600002,2026-02-19 08:20:59.196000+00:00,STATISTICAL_ANOMALY,0.6469,6.4688
TEC0325A0600002,2026-02-19 08:21:29.197000+00:00,STATISTICAL_ANOMALY,0.6491,6.4911
TEC0325A0600002,2026-02-19 08:24:59.196000+00:00,STATISTICAL_ANOMALY,0.6745,6.7455
TEC0325A0600002,2026-02-19 08:25:29.198000+00:00,STATISTICAL_ANOMALY,0.679,6.7895
TEC0325A0600002,2026-02-19 08:26:59.196000+00:00,STATISTICAL_ANOMALY,0.6799,6.799
TEC0325A0600002,2026-02-19 08:27:29.198000+00:00,STATISTICAL_ANOMALY,0.6812,6.8118
TEC0325A0600002,2026-02-19 08:28:59.196000+00:00,STATISTICAL_ANOMALY,0.6525,6.5247
TEC0325A0600002,2026-02-19 08:29:29.198000+00:00,STATISTICAL_ANOMALY,0.6508,6.5084
TEC0325A0600002,2026-02-19 08:34:59.204000+00:00,STATISTICAL_ANOMALY,0.6471,6.4713
TEC0325A0600002,2026-02-19 08:35:29.202000+00:00,STATISTICAL_ANOMALY,0.6471,6.4713
TEC0325A0600002,2026-02-19 08:47:29.202000+00:00,STATISTICAL_ANOMALY,0.6414,6.4144
TEC0325A0600002,2026-02-19 08:47:59.199000+00:00,STATISTICAL_ANOMALY,0.6416,6.4155
TEC0325A0600002,2026-02-19 08:51:29.203000+00:00,STATISTICAL_ANOMALY,0.6425,6.4254
TEC0325A0600002,2026-02-19 08:51:59.198000+00:00,STATISTICAL_ANOMALY,0.642,6.4199
TEC0325A0600002,2026-02-19 10:24:59.197000+00:00,STATISTICAL_ANOMALY,0.5939,5.9386
TEC0325A0600002,2026-02-19 10:25:29.200000+00:00,STATISTICAL_ANOMALY,0.5982,5.982
TEC0325A0600002,2026-02-19 10:26:59.196000+00:00,STATISTICAL_ANOMALY,0.6324,6.3242
TEC0325A0600002,2026-02-19 10:27:29.204000+00:00,STATISTICAL_ANOMALY,0.6325,6.3253
TEC0325A0600002,2026-02-19 10:28:59.209000+00:00,STATISTICAL_ANOMALY,0.6209,6.2087
TEC0325A0600002,2026-02-19 10:29:29.263000+00:00,STATISTICAL_ANOMALY,0.6268,6.2678
TEC0325A0600002,2026-02-19 10:32:59.196000+00:00,STATISTICAL_ANOMALY,0.6329,6.3286
TEC0325A0600002,2026-02-19 10:33:29.202000+00:00,STATISTICAL_ANOMALY,0.6372,6.372
TEC0325A0600002,2026-02-19 10:34:59.240000+00:00,STATISTICAL_ANOMALY,0.668,6.6803
TEC0325A0600002,2026-02-19 10:35:29.198000+00:00,STATISTICAL_ANOMALY,0.6732,6.7318
TEC0325A0600002,2026-02-19 10:38:59.211000+00:00,STATISTICAL_ANOMALY,0.6676,6.6757
TEC0325A0600002,2026-02-19 10:39:29.200000+00:00,STATISTICAL_ANOMALY,0.6664,6.6644
TEC0325A0600002,2026-02-19 10:40:59.203000+00:00,STATISTICAL_ANOMALY,0.6705,6.7054
